CHATTING_SETTING_CANCLE	Cancel
CHATTING_SETTING_CLEAR	Reset
CHATTING_SETTING_DEFAULT_TITLE	General
CHATTING_SETTING_DETAIL	System Settings
CHATTING_SETTING_DICE	Dice
CHATTING_SETTING_DICE_SETTING	Dice Settings
CHATTING_SETTING_EXP	Experience
CHATTING_SETTING_GOLD	Currency
CHATTING_SETTING_GUILD	Guild
CHATTING_SETTING_ITEM	Items
CHATTING_SETTING_LANGUAGE_1	Language 1
CHATTING_SETTING_LANGUAGE_2	Language 2
CHATTING_SETTING_LANGUAGE_3	Language 3
CHATTING_SETTING_LANGUAGE_CUR	Current language ( %s )
CHATTING_SETTING_LANGUAGE_ONOFF	Filter
CHATTING_SETTING_LIST	List
CHATTING_SETTING_NOTICE	Message
CHATTING_SETTING_PARTY	Group
CHATTING_SETTING_SAVE	Save
CHATTING_SETTING_SHOUT	Shout chat
CHATTING_SETTING_SYSTEM	System
CHATTING_SETTING_TABNAME	Chat name settings
CHATTING_SETTING_TALKING	General
CHATTING_SETTING_TITLE	Chat settings
